Title;Link;Author;Publishing Year
Las mujeres que aman demasiado;https://www.penguinlibros.com/es/libros-autoayuda/8323-libro-las-mujeres-que-aman-demasiado-9788490707760;Robin Norwood;2019
La regla mola;https://www.penguinlibros.com/es/libros-ninos-9-anos/29887-libro-la-regla-mola-9788417922986;Cristina Torrón (Menstruita);2020
Mujeres que corren con los lobos;https://www.penguinlibros.com/es/ciencia-y-tecnologia/8834-libro-mujeres-que-corren-con-los-lobos-9788413141213;Clarissa Pinkola Estés;2020
Tu argumentario feminista en datos;https://www.penguinlibros.com/es/autoconocimiento-y-salud/338643-libro-tu-argumentario-feminista-en-datos-9788419848581;Júlia Salander;2024
Nadie tiene que saberlo excepto tú (edición...;https://www.penguinlibros.com/es/activismo/329750-libro-nadie-tiene-que-saberlo-excepto-tu-edicion-especial-con-contenido-inedito-9788402429018;Madame G. Rouge;2023
La vegetariana;https://www.penguinlibros.com/es/literatura-contemporanea/343549-libro-la-vegetariana-9788439743897;Han Kang;2024
Tu éxito es inevitable;https://www.penguinlibros.com/es/libro-de-negocio/293531-libro-tu-exito-es-inevitable-9788425362378;Maïté Issa;2022
Hierba;https://www.penguinlibros.com/es/novela-grafica/278633-libro-hierba-9788418052071;Keum Suk Gendry-Kim;2022
Las olvidadas;https://www.penguinlibros.com/es/libro-de-biografias/340544-libro-las-olvidadas-9788426426888;Ángeles Caso;2024
Rocamboleska;https://www.penguinlibros.com/es/libros-de-poesia/332180-libro-rocamboleska-9788419848093;Bebi Fernández;2023
Una historia compartida;https://www.penguinlibros.com/es/economia-politica-y-actualidad/316914-libro-una-historia-compartida-9788401031427;Julia Navarro;2023
Una habitación propia (nueva traducción);https://www.penguinlibros.com/es/economia-politica-y-actualidad/339096-libro-una-habitacion-propia-nueva-traduccion-9788466373852;Virginia Woolf;2024
Las desheredadas;https://www.penguinlibros.com/es/libro-de-biografias/330260-libro-las-desheredadas-9788426422811;Ángeles Caso;2023
Todos deberíamos ser feministas;https://www.penguinlibros.com/es/economia-politica-y-actualidad/36893-libro-todos-deberiamos-ser-feministas-9788439730484;Chimamanda Ngozi Adichie;2015
Malas mujeres;https://www.penguinlibros.com/es/novela-grafica/262104-libro-malas-mujeres-9788426409690;María Hesse;2022
Ética para Celia;https://www.penguinlibros.com/es/economia-politica-y-actualidad/307902-libro-etica-para-celia-9788466672504;Ana De Miguel;2022
Las diosas de cada mujer;https://www.penguinlibros.com/es/economia-politica-y-actualidad/35884-libro-las-diosas-de-cada-mujer-9788499087689;Jean Shinoda Bolen;2010
No siento nada;https://www.penguinlibros.com/es/novela-grafica/237140-libro-no-siento-nada-9788418052026;Liv Strömquist;2021
La revuelta de las putas;https://www.penguinlibros.com/es/economia-politica-y-actualidad/255157-libro-la-revuelta-de-las-putas-9788466668859;Amelia Tiganus;2021
Escritoras;https://www.penguinlibros.com/es/libro-de-biografias/315466-libro-escritoras-9788426424761;Carmen G. de la Cueva;2023
Teoría King Kong;https://www.penguinlibros.com/es/economia-politica-y-actualidad/37048-libro-teoria-king-kong-9788439733850;Virginie Despentes;2018
Feminismo para principiantes (edición...;https://www.penguinlibros.com/es/economia-politica-y-actualidad/8810-libro-feminismo-para-principiantes-edicion-actualizada-9788413140803;Nuria Varela;2019
Exaltadas, locas, modernas;https://www.penguinlibros.com/es/libros-de-historia/338541-libro-exaltadas-locas-modernas-9788402427618;Ángeles Taro;2024
Ni musas ni sumisas;https://www.penguinlibros.com/es/libro-de-arte-cine-y-musica/290235-libro-ni-musas-ni-sumisas-9788402426567;Helena Sotoca García (@femme.sapiens);2022
La espera;https://www.penguinlibros.com/es/novela-grafica/313492-libro-la-espera-9788418897771;Keum Suk Gendry-Kim;2023
Señoras que se empotraron hace mucho;https://www.penguinlibros.com/es/libros-de-historia/36509-libro-senoras-que-se-empotraron-hace-mucho-9788417001933;Cristina Domenech;2019
